#
# Descriptiom of the plot. G(5881, 35592). 552 (0.0939) nodes with in-deg > avg deg (12.1), 260 (0.0442) with >2*avg.deg (Tue Mar 12 15:52:50 2019)
#
# In-degree	Count
0	23
1	2427
2	1042
3	565
4	335
5	235
6	189
7	142
8	95
9	87
10	75
11	68
12	46
13	39
14	38
15	27
16	40
17	21
18	30
19	24
20	22
21	21
22	6
23	13
24	11
25	12
26	13
27	11
28	7
29	15
30	5
31	9
32	7
33	7
34	6
35	4
36	7
37	10
38	7
39	2
40	1
41	4
42	2
43	2
44	4
45	3
46	3
47	5
48	4
49	1
50	3
51	3
52	3
53	6
54	8
55	4
56	1
57	2
58	2
59	1
60	1
61	1
62	1
63	3
64	3
65	1
66	1
68	2
69	3
71	2
72	1
74	2
79	1
80	2
81	2
82	3
83	1
84	1
85	2
92	1
93	1
95	1
96	2
98	1
99	1
100	2
103	1
105	1
110	1
113	1
115	2
117	1
118	2
123	1
128	2
129	1
132	1
133	1
134	1
136	1
144	1
145	1
158	1
164	1
165	1
179	1
180	1
191	1
203	1
216	1
222	1
226	1
264	1
279	1
311	1
412	1
535	1
